#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-0.35,149.59
2,22.4,1.0000,-0.31,145.17
3,25.1,1.0000,-0.30,140.21
4,28.2,1.0000,-0.30,134.48
5,31.6,1.0000,-0.30,128.21
6,35.5,1.0000,-0.30,120.85
7,39.8,1.0000,-0.30,112.63
8,44.7,1.0000,-0.30,103.10
9,50.1,1.0000,-0.30,92.43
10,56.2,1.0000,-0.32,80.06
11,63.1,1.0000,-0.34,65.78
12,70.8,1.0000,-0.36,49.64
13,79.4,1.0000,-0.39,31.71
14,89.1,1.0000,-0.41,11.98
15,100.0,1.0000,-0.43,-8.93
16,112.2,1.0000,-0.40,-30.34
17,125.9,1.0000,-0.39,-51.51
18,141.3,1.0000,-0.33,-71.71
19,158.5,1.0000,-0.28,-90.60
20,177.8,1.0000,-0.25,-108.03
21,199.5,1.0000,-0.21,-124.19
22,223.9,1.0000,-0.19,-139.21
23,251.2,1.0000,-0.19,-153.36
24,281.8,1.0000,-0.19,-166.94
25,316.2,1.0000,-0.19,179.71
26,354.8,1.0000,-0.19,166.42
27,398.1,1.0000,-0.23,152.80
28,446.7,1.0000,-0.25,138.67
29,501.2,1.0000,-0.28,123.69
30,562.3,1.0000,-0.35,107.61
31,631.0,1.0000,-0.39,90.35
32,707.9,1.0000,-0.43,71.72
33,794.3,1.0000,-0.48,51.90
34,891.3,1.0000,-0.48,31.26
35,1000.0,1.0000,-0.44,10.37
36,1122.0,1.0000,-0.38,-10.12
37,1258.9,1.0000,-0.27,-29.55
38,1412.5,1.0000,-0.19,-47.38
39,1584.9,1.0000,-0.10,-63.39
40,1778.3,1.0000,-0.02,-77.54
41,1995.3,1.0000,0.03,-89.97
42,2238.7,1.0000,0.05,-100.70
43,2511.9,1.0000,0.08,-110.10
44,2818.4,1.0000,0.10,-118.26
45,3162.3,1.0000,0.11,-125.41
46,3548.1,1.0000,0.12,-131.66
47,3981.1,1.0000,0.13,-137.16
48,4466.8,1.0000,0.13,-141.93
49,5011.9,1.0000,0.13,-146.23
50,5623.4,1.0000,0.13,-149.98
51,6309.6,1.0000,0.13,-153.36
52,7079.5,1.0000,0.15,-156.34
53,7943.3,1.0000,0.14,-158.97
54,8912.5,1.0000,0.15,-161.32
55,10000.0,1.0000,0.15,-163.38
56,11220.2,1.0000,0.16,-165.28
57,12589.3,1.0000,0.15,-166.93
58,14125.4,1.0000,0.16,-168.44
59,15848.9,1.0000,0.16,-169.80
60,17782.8,1.0000,0.16,188.99
61,19952.6,1.0000,0.16,187.95
62,22387.2,1.0000,0.17,186.97
63,25118.9,1.0000,0.18,186.08
64,28183.8,1.0000,0.17,185.21
65,31622.8,1.0000,0.19,184.47
66,35481.3,1.0000,0.19,183.79
67,39810.7,1.0000,0.19,183.11
68,44668.4,1.0000,0.21,182.54
69,50118.7,1.0000,0.21,181.94
70,56234.1,1.0000,0.22,181.39
71,63095.7,1.0000,0.24,180.82
72,70794.6,1.0000,0.24,180.30
73,79432.8,1.0000,0.27,179.77
74,89125.1,1.0000,0.30,179.20
75,100000.0,1.0000,0.31,178.56
76,112201.8,1.0000,0.34,178.00
77,125892.5,1.0000,0.38,177.23
78,141253.8,1.0000,0.42,176.52
79,158489.3,1.0000,0.48,175.70
80,177827.9,1.0000,0.55,174.73
81,199526.2,1.0000,0.62,173.61
82,223872.1,1.0000,0.70,172.32
83,251188.6,1.0000,0.83,170.70
84,281838.3,1.0000,1.02,168.77
85,316227.8,1.0000,1.26,165.59
86,354813.4,1.0000,1.40,159.12
87,398107.2,1.0000,1.37,148.17
88,446683.6,1.0000,0.97,128.33
89,501187.2,1.0000,0.01,108.24
90,562341.3,1.0000,-1.00,93.61
91,630957.3,1.0000,-1.97,81.39
92,707945.8,1.0000,-2.91,70.10
93,794328.2,1.0000,-3.74,59.03
94,891250.9,1.0000,-4.55,47.01
95,1000000.0,1.0000,-5.11,32.52
