#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,4.12,149.61
2,22.4,1.0000,4.11,145.20
3,25.1,1.0000,4.11,140.26
4,28.2,1.0000,4.12,134.54
5,31.6,1.0000,4.11,128.25
6,35.5,1.0000,4.09,120.97
7,39.8,1.0000,4.05,112.75
8,44.7,1.0000,4.00,103.27
9,50.1,1.0000,3.92,92.62
10,56.2,1.0000,3.79,80.35
11,63.1,1.0000,3.59,66.24
12,70.8,1.0000,3.33,50.35
13,79.4,1.0000,2.96,32.74
14,89.1,1.0000,2.53,13.40
15,100.0,1.0000,2.01,-7.16
16,112.2,1.0000,1.49,-28.33
17,125.9,1.0000,1.01,-49.50
18,141.3,1.0000,0.64,-69.83
19,158.5,1.0000,0.36,-89.00
20,177.8,1.0000,0.20,-106.72
21,199.5,1.0000,0.08,-123.21
22,223.9,1.0000,-0.01,-138.59
23,251.2,1.0000,-0.05,-152.97
24,281.8,1.0000,-0.10,-166.82
25,316.2,1.0000,-0.10,179.59
26,354.8,1.0000,-0.09,166.04
27,398.1,1.0000,-0.06,152.17
28,446.7,1.0000,-0.01,137.71
29,501.2,1.0000,0.10,122.36
30,562.3,1.0000,0.28,105.90
31,631.0,1.0000,0.57,88.23
32,707.9,1.0000,0.97,69.41
33,794.3,1.0000,1.49,49.49
34,891.3,1.0000,2.12,28.98
35,1000.0,1.0000,2.80,8.41
36,1122.0,1.0000,3.48,-11.63
37,1258.9,1.0000,4.08,-30.62
38,1412.5,1.0000,4.59,-48.18
39,1584.9,1.0000,4.96,-63.92
40,1778.3,1.0000,5.23,-77.94
41,1995.3,1.0000,5.40,-90.22
42,2238.7,1.0000,5.53,-100.93
43,2511.9,1.0000,5.60,-110.26
44,2818.4,1.0000,5.66,-118.43
45,3162.3,1.0000,5.70,-125.57
46,3548.1,1.0000,5.71,-131.76
47,3981.1,1.0000,5.74,-137.24
48,4466.8,1.0000,5.75,-142.09
49,5011.9,1.0000,5.75,-146.35
50,5623.4,1.0000,5.76,-150.10
51,6309.6,1.0000,5.76,-153.48
52,7079.5,1.0000,5.76,-156.45
53,7943.3,1.0000,5.77,-159.15
54,8912.5,1.0000,5.77,-161.50
55,10000.0,1.0000,5.77,-163.62
56,11220.2,1.0000,5.77,-165.51
57,12589.3,1.0000,5.77,-167.22
58,14125.4,1.0000,5.78,-168.71
59,15848.9,1.0000,5.78,189.91
60,17782.8,1.0000,5.77,188.63
61,19952.6,1.0000,5.78,187.51
62,22387.2,1.0000,5.79,186.53
63,25118.9,1.0000,5.78,185.60
64,28183.8,1.0000,5.79,184.72
65,31622.8,1.0000,5.79,183.90
66,35481.3,1.0000,5.80,183.17
67,39810.7,1.0000,5.79,182.46
68,44668.4,1.0000,5.80,181.83
69,50118.7,1.0000,5.81,181.21
70,56234.1,1.0000,5.82,180.53
71,63095.7,1.0000,5.84,179.90
72,70794.6,1.0000,5.85,179.25
73,79432.8,1.0000,5.88,178.63
74,89125.1,1.0000,5.90,177.82
75,100000.0,1.0000,5.93,177.06
76,112201.8,1.0000,5.97,176.21
77,125892.5,1.0000,6.03,175.30
78,141253.8,1.0000,6.08,174.22
79,158489.3,1.0000,6.13,173.07
80,177827.9,1.0000,6.19,171.75
81,199526.2,1.0000,6.28,170.20
82,223872.1,1.0000,6.36,168.42
83,251188.6,1.0000,6.48,166.27
84,281838.3,1.0000,6.64,163.70
85,316227.8,1.0000,6.89,159.60
86,354813.4,1.0000,7.01,151.90
87,398107.2,1.0000,6.99,139.89
88,446683.6,1.0000,6.60,118.41
89,501187.2,1.0000,5.60,97.01
90,562341.3,1.0000,4.57,81.02
91,630957.3,1.0000,3.51,66.74
92,707945.8,1.0000,2.52,53.16
93,794328.2,1.0000,1.52,39.16
94,891250.9,1.0000,0.60,23.40
95,1000000.0,1.0000,-0.45,3.55
