#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-8.56,149.72
2,22.4,1.0000,-8.55,145.30
3,25.1,1.0000,-8.53,140.31
4,28.2,1.0000,-8.50,134.59
5,31.6,1.0000,-8.44,128.23
6,35.5,1.0000,-8.35,120.90
7,39.8,1.0000,-8.22,112.58
8,44.7,1.0000,-8.05,102.92
9,50.1,1.0000,-7.79,91.97
10,56.2,1.0000,-7.42,79.26
11,63.1,1.0000,-6.88,64.51
12,70.8,1.0000,-6.18,47.85
13,79.4,1.0000,-5.36,29.36
14,89.1,1.0000,-4.45,9.23
15,100.0,1.0000,-3.51,-11.96
16,112.2,1.0000,-2.65,-33.22
17,125.9,1.0000,-1.91,-54.09
18,141.3,1.0000,-1.35,-73.93
19,158.5,1.0000,-0.94,-92.32
20,177.8,1.0000,-0.65,-109.35
21,199.5,1.0000,-0.47,-125.13
22,223.9,1.0000,-0.35,-139.87
23,251.2,1.0000,-0.26,-153.78
24,281.8,1.0000,-0.25,-167.17
25,316.2,1.0000,-0.24,179.71
26,354.8,1.0000,-0.26,166.55
27,398.1,1.0000,-0.31,153.14
28,446.7,1.0000,-0.41,139.26
29,501.2,1.0000,-0.54,124.52
30,562.3,1.0000,-0.74,108.82
31,631.0,1.0000,-1.03,91.85
32,707.9,1.0000,-1.44,73.66
33,794.3,1.0000,-1.98,54.17
34,891.3,1.0000,-2.67,33.72
35,1000.0,1.0000,-3.44,12.87
36,1122.0,1.0000,-4.30,-7.80
37,1258.9,1.0000,-5.10,-27.54
38,1412.5,1.0000,-5.78,-45.80
39,1584.9,1.0000,-6.34,-62.24
40,1778.3,1.0000,-6.75,-76.74
41,1995.3,1.0000,-7.04,-89.36
42,2238.7,1.0000,-7.24,-100.30
43,2511.9,1.0000,-7.37,-109.82
44,2818.4,1.0000,-7.45,-118.00
45,3162.3,1.0000,-7.52,-125.18
46,3548.1,1.0000,-7.56,-131.43
47,3981.1,1.0000,-7.59,-136.87
48,4466.8,1.0000,-7.61,-141.64
49,5011.9,1.0000,-7.61,-145.88
50,5623.4,1.0000,-7.61,-149.61
51,6309.6,1.0000,-7.61,-152.91
52,7079.5,1.0000,-7.60,-155.83
53,7943.3,1.0000,-7.61,-158.42
54,8912.5,1.0000,-7.61,-160.71
55,10000.0,1.0000,-7.60,-162.76
56,11220.2,1.0000,-7.61,-164.53
57,12589.3,1.0000,-7.61,-166.09
58,14125.4,1.0000,-7.61,-167.55
59,15848.9,1.0000,-7.59,-168.77
60,17782.8,1.0000,-7.59,-169.86
61,19952.6,1.0000,-7.59,189.23
62,22387.2,1.0000,-7.58,188.37
63,25118.9,1.0000,-7.58,187.68
64,28183.8,1.0000,-7.58,187.09
65,31622.8,1.0000,-7.59,186.51
66,35481.3,1.0000,-7.56,186.07
67,39810.7,1.0000,-7.55,185.68
68,44668.4,1.0000,-7.55,185.38
69,50118.7,1.0000,-7.53,185.16
70,56234.1,1.0000,-7.52,184.98
71,63095.7,1.0000,-7.50,184.87
72,70794.6,1.0000,-7.47,184.81
73,79432.8,1.0000,-7.44,184.75
74,89125.1,1.0000,-7.40,184.81
75,100000.0,1.0000,-7.35,184.87
76,112201.8,1.0000,-7.30,184.99
77,125892.5,1.0000,-7.24,185.10
78,141253.8,1.0000,-7.16,185.21
79,158489.3,1.0000,-7.06,185.44
80,177827.9,1.0000,-6.94,185.60
81,199526.2,1.0000,-6.80,185.71
82,223872.1,1.0000,-6.63,185.71
83,251188.6,1.0000,-6.39,185.68
84,281838.3,1.0000,-6.12,185.25
85,316227.8,1.0000,-5.77,183.63
86,354813.4,1.0000,-5.45,178.78
87,398107.2,1.0000,-5.30,169.97
88,446683.6,1.0000,-5.55,152.20
89,501187.2,1.0000,-6.30,134.37
90,562341.3,1.0000,-7.06,121.99
91,630957.3,1.0000,-7.79,111.70
92,707945.8,1.0000,-8.32,103.41
93,794328.2,1.0000,-8.87,94.36
94,891250.9,1.0000,-9.11,84.84
95,1000000.0,1.0000,-9.27,72.63
