#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,11.97,149.15
2,20.9,1.0000,12.00,147.49
3,21.9,1.0000,12.00,145.60
4,22.9,1.0000,11.98,143.75
5,24.0,1.0000,11.98,141.75
6,25.1,1.0000,11.98,139.70
7,26.3,1.0000,11.98,137.46
8,27.5,1.0000,11.98,135.28
9,28.8,1.0000,11.96,132.86
10,30.2,1.0000,11.96,130.22
11,31.6,1.0000,11.94,127.60
12,33.1,1.0000,11.93,124.80
13,34.7,1.0000,11.92,121.76
14,36.3,1.0000,11.90,118.73
15,38.0,1.0000,11.87,115.50
16,39.8,1.0000,11.86,111.99
17,41.7,1.0000,11.82,108.32
18,43.7,1.0000,11.78,104.44
19,45.7,1.0000,11.72,100.52
20,47.9,1.0000,11.67,96.14
21,50.1,1.0000,11.61,91.77
22,52.5,1.0000,11.52,86.98
23,55.0,1.0000,11.43,81.90
24,57.5,1.0000,11.31,76.85
25,60.3,1.0000,11.18,71.16
26,63.1,1.0000,11.02,65.43
27,66.1,1.0000,10.83,59.22
28,69.2,1.0000,10.62,52.93
29,72.4,1.0000,10.38,46.36
30,75.9,1.0000,10.08,39.24
31,79.4,1.0000,9.79,32.29
32,83.2,1.0000,9.41,24.73
33,87.1,1.0000,9.03,17.18
34,91.2,1.0000,8.61,9.38
35,95.5,1.0000,8.14,1.37
36,100.0,1.0000,7.63,-6.70
37,104.7,1.0000,7.12,-14.88
38,109.6,1.0000,6.58,-23.02
39,114.8,1.0000,6.03,-31.33
40,120.2,1.0000,5.50,-39.64
41,125.9,1.0000,4.94,-47.83
42,131.8,1.0000,4.41,-55.98
43,138.0,1.0000,3.88,-64.13
44,144.5,1.0000,3.38,-72.10
45,151.4,1.0000,2.92,-80.12
46,158.5,1.0000,2.51,-87.79
47,166.0,1.0000,2.13,-95.42
48,173.8,1.0000,1.78,-102.82
49,182.0,1.0000,1.48,-110.10
50,190.5,1.0000,1.22,-117.10
51,199.5,1.0000,0.98,-124.10
52,208.9,1.0000,0.79,-130.86
53,218.8,1.0000,0.64,-137.50
54,229.1,1.0000,0.49,-143.93
55,239.9,1.0000,0.41,-150.26
56,251.2,1.0000,0.30,-156.50
57,263.0,1.0000,0.25,-162.59
