#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
58,275.4,1.0000,0.18,-168.66
59,288.4,1.0000,0.15,185.33
60,302.0,1.0000,0.11,179.37
61,316.2,1.0000,0.10,173.47
62,331.1,1.0000,0.10,167.47
63,346.7,1.0000,0.12,161.45
64,363.1,1.0000,0.15,155.38
65,380.2,1.0000,0.19,149.29
66,398.1,1.0000,0.25,143.06
67,416.9,1.0000,0.33,136.70
68,436.5,1.0000,0.44,130.19
69,457.1,1.0000,0.56,123.61
70,478.6,1.0000,0.70,116.79
71,501.2,1.0000,0.88,109.86
72,524.8,1.0000,1.09,102.67
73,549.5,1.0000,1.33,95.34
74,575.4,1.0000,1.61,87.84
75,602.6,1.0000,1.93,80.10
76,631.0,1.0000,2.29,72.18
77,660.7,1.0000,2.65,64.16
78,691.8,1.0000,3.09,55.91
79,724.4,1.0000,3.55,47.53
80,758.6,1.0000,4.06,39.05
81,794.3,1.0000,4.58,30.41
82,831.8,1.0000,5.10,21.64
83,871.0,1.0000,5.65,12.83
84,912.0,1.0000,6.20,3.96
85,955.0,1.0000,6.73,-4.92
86,1000.0,1.0000,7.27,-13.91
87,1047.1,1.0000,7.76,-22.78
88,1096.5,1.0000,8.23,-31.63
89,1148.2,1.0000,8.67,-40.42
90,1202.3,1.0000,9.06,-49.09
91,1258.9,1.0000,9.42,-57.64
92,1318.3,1.0000,9.74,-66.08
93,1380.4,1.0000,10.02,-74.27
94,1445.4,1.0000,10.27,-82.29
95,1513.6,1.0000,10.48,-90.15
96,1584.9,1.0000,10.66,-97.82
97,1659.6,1.0000,10.82,-105.30
98,1737.8,1.0000,10.94,-112.62
99,1819.7,1.0000,11.04,-119.69
100,1905.5,1.0000,11.12,-126.71
101,1995.3,1.0000,11.18,-133.53
102,2089.3,1.0000,11.19,-140.19
103,2187.8,1.0000,11.21,-146.78
104,2290.9,1.0000,11.19,-153.30
105,2398.8,1.0000,11.15,-159.72
106,2511.9,1.0000,11.08,-166.14
107,2630.3,1.0000,11.00,187.62
108,2754.2,1.0000,10.90,181.33
109,2884.0,1.0000,10.75,175.09
110,3020.0,1.0000,10.59,168.90
111,3162.3,1.0000,10.40,162.71
112,3311.3,1.0000,10.17,156.58
113,3467.4,1.0000,9.91,150.56
114,3630.8,1.0000,9.61,144.51
115,3801.9,1.0000,9.27,138.59
116,3981.1,1.0000,8.89,132.68
117,4168.7,1.0000,8.47,126.93
118,4365.2,1.0000,8.02,121.25
119,4570.9,1.0000,7.52,115.84
120,4786.3,1.0000,7.00,110.54
121,5011.9,1.0000,6.45,105.37
122,5248.1,1.0000,5.86,100.40
123,5495.4,1.0000,5.24,95.64
124,5754.4,1.0000,4.59,91.10
125,6025.6,1.0000,3.92,86.73
126,6309.6,1.0000,3.24,82.55
127,6606.9,1.0000,2.54,78.56
128,6918.3,1.0000,1.83,74.81
129,7244.4,1.0000,1.11,71.20
130,7585.8,1.0000,0.43,67.78
131,7943.3,1.0000,-0.32,64.50
132,8317.6,1.0000,-1.07,61.45
133,8709.6,1.0000,-1.84,58.48
134,9120.1,1.0000,-2.60,55.73
135,9549.9,1.0000,-3.37,53.09
136,10000.0,1.0000,-4.19,50.51
137,10471.3,1.0000,-4.96,48.15
138,10964.8,1.0000,-5.75,45.88
139,11481.5,1.0000,-6.51,43.74
140,12022.6,1.0000,-7.31,41.68
141,12589.3,1.0000,-8.10,39.79
142,13182.6,1.0000,-8.89,37.90
143,13803.8,1.0000,-9.69,36.16
144,14454.4,1.0000,-10.47,34.50
145,15135.6,1.0000,-11.27,32.90
146,15848.9,1.0000,-12.03,31.34
147,16595.9,1.0000,-12.82,29.89
148,17378.0,1.0000,-13.61,28.46
149,18197.0,1.0000,-14.40,27.20
150,19054.6,1.0000,-15.19,25.89
151,19952.6,1.0000,-16.00,24.67
152,20893.0,1.0000,-16.79,23.49
153,21877.6,1.0000,-17.59,22.39
154,22908.7,1.0000,-18.37,21.31
155,23988.3,1.0000,-19.16,20.32
156,25118.9,1.0000,-19.95,19.35
157,26302.7,1.0000,-20.74,18.43
158,27542.3,1.0000,-21.53,17.52
159,28840.3,1.0000,-22.32,16.61
160,30199.5,1.0000,-23.12,15.79
161,31622.8,1.0000,-23.93,14.96
162,33113.1,1.0000,-24.72,14.10
163,34673.7,1.0000,-25.51,13.40
164,36307.8,1.0000,-26.30,12.64
165,38018.9,1.0000,-27.09,11.92
166,39810.7,1.0000,-27.87,11.24
167,41686.9,1.0000,-28.69,10.66
168,43651.6,1.0000,-29.47,10.03
169,45708.8,1.0000,-30.25,9.40
170,47863.0,1.0000,-31.04,8.81
171,50118.7,1.0000,-31.82,8.19
172,52480.7,1.0000,-32.59,7.57
173,54954.1,1.0000,-33.37,6.99
174,57544.0,1.0000,-34.17,6.47
175,60256.0,1.0000,-34.95,5.84
176,63095.7,1.0000,-35.73,5.38
177,66069.3,1.0000,-36.51,4.72
178,69183.1,1.0000,-37.33,4.08
179,72443.6,1.0000,-38.12,3.56
180,75857.8,1.0000,-38.86,2.98
181,79432.8,1.0000,-39.66,2.41
182,83176.4,1.0000,-40.43,1.85
183,87096.4,1.0000,-41.21,1.41
184,91201.1,1.0000,-41.98,0.80
185,95499.3,1.0000,-42.74,0.19
186,100000.0,1.0000,-43.53,-0.40
187,104712.9,1.0000,-44.30,-1.10
188,109647.8,1.0000,-45.05,-1.96
189,114815.4,1.0000,-45.82,-2.58
190,120226.4,1.0000,-46.62,-3.26
191,125892.5,1.0000,-47.38,-4.10
192,131825.7,1.0000,-48.14,-4.89
193,138038.4,1.0000,-48.87,-5.70
194,144544.0,1.0000,-49.62,-6.65
195,151356.1,1.0000,-50.33,-7.62
196,158489.3,1.0000,-51.04,-8.78
197,165958.7,1.0000,-51.79,-9.99
198,173780.1,1.0000,-52.51,-11.14
199,181970.1,1.0000,-53.26,-12.86
200,190546.1,1.0000,-53.92,-14.33
201,199526.2,1.0000,-54.51,-15.45
202,208929.6,1.0000,-55.29,-17.14
203,218776.2,1.0000,-55.85,-19.00
204,229086.8,1.0000,-56.42,-20.52
205,239883.3,1.0000,-56.93,-22.18
206,251188.6,1.0000,-57.47,-25.18
207,263026.8,1.0000,-57.91,-26.13
208,275422.9,1.0000,-58.81,-28.99
209,288403.2,1.0000,-58.69,-31.64
210,301995.2,1.0000,-58.87,-37.75
211,316227.8,1.0000,-58.87,-35.20
212,331131.1,1.0000,-59.52,-42.32
213,346736.9,1.0000,-59.19,-48.18
214,363078.1,1.0000,-59.34,-55.72
215,380189.4,1.0000,-59.44,-63.63
216,398107.2,1.0000,-59.66,-70.81
217,416869.4,1.0000,-59.05,-84.12
218,436515.8,1.0000,-59.69,-97.71
219,457088.2,1.0000,-59.50,-110.52
220,478630.1,1.0000,-59.83,-120.82
221,501187.2,1.0000,-59.58,-130.92
222,524807.5,1.0000,-59.84,-141.78
223,549540.9,1.0000,-60.47,-147.28
224,575439.9,1.0000,-60.39,-157.84
225,602559.6,1.0000,-60.31,-164.92
226,630957.3,1.0000,-60.52,189.77
227,660693.4,1.0000,-60.99,184.35
228,691831.0,1.0000,-60.55,175.05
229,724436.0,1.0000,-60.03,168.54
230,758577.6,1.0000,-60.47,165.06
231,794328.2,1.0000,-61.02,156.26
232,831763.8,1.0000,-61.15,150.29
233,870963.6,1.0000,-60.78,144.92
234,912010.8,1.0000,-61.13,136.12
235,954992.6,1.0000,-60.96,134.52
236,1000000.0,1.0000,-60.87,127.29
