#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-6.28,149.72
2,22.4,1.0000,-6.27,145.31
3,25.1,1.0000,-6.25,140.32
4,28.2,1.0000,-6.22,134.59
5,31.6,1.0000,-6.19,128.29
6,35.5,1.0000,-6.14,120.95
7,39.8,1.0000,-6.06,112.62
8,44.7,1.0000,-5.95,102.99
9,50.1,1.0000,-5.76,92.15
10,56.2,1.0000,-5.52,79.54
11,63.1,1.0000,-5.18,64.96
12,70.8,1.0000,-4.73,48.42
13,79.4,1.0000,-4.18,30.11
14,89.1,1.0000,-3.52,10.02
15,100.0,1.0000,-2.83,-11.17
16,112.2,1.0000,-2.19,-32.57
17,125.9,1.0000,-1.59,-53.56
18,141.3,1.0000,-1.14,-73.47
19,158.5,1.0000,-0.80,-91.97
20,177.8,1.0000,-0.57,-109.07
21,199.5,1.0000,-0.41,-124.95
22,223.9,1.0000,-0.31,-139.74
23,251.2,1.0000,-0.27,-153.66
24,281.8,1.0000,-0.24,-167.10
25,316.2,1.0000,-0.23,179.73
26,354.8,1.0000,-0.25,166.56
27,398.1,1.0000,-0.31,153.14
28,446.7,1.0000,-0.39,139.17
29,501.2,1.0000,-0.52,124.47
30,562.3,1.0000,-0.71,108.69
31,631.0,1.0000,-0.97,91.73
32,707.9,1.0000,-1.36,73.49
33,794.3,1.0000,-1.86,53.95
34,891.3,1.0000,-2.47,33.49
35,1000.0,1.0000,-3.14,12.59
36,1122.0,1.0000,-3.92,-8.08
37,1258.9,1.0000,-4.58,-27.79
38,1412.5,1.0000,-5.16,-46.04
39,1584.9,1.0000,-5.62,-62.41
40,1778.3,1.0000,-5.95,-76.91
41,1995.3,1.0000,-6.20,-89.46
42,2238.7,1.0000,-6.35,-100.37
43,2511.9,1.0000,-6.47,-109.81
44,2818.4,1.0000,-6.53,-118.08
45,3162.3,1.0000,-6.57,-125.22
46,3548.1,1.0000,-6.60,-131.47
47,3981.1,1.0000,-6.62,-136.90
48,4466.8,1.0000,-6.63,-141.74
49,5011.9,1.0000,-6.63,-145.99
50,5623.4,1.0000,-6.63,-149.70
51,6309.6,1.0000,-6.63,-152.97
52,7079.5,1.0000,-6.64,-155.94
53,7943.3,1.0000,-6.63,-158.57
54,8912.5,1.0000,-6.62,-160.86
55,10000.0,1.0000,-6.63,-162.89
56,11220.2,1.0000,-6.63,-164.67
57,12589.3,1.0000,-6.63,-166.30
58,14125.4,1.0000,-6.62,-167.71
59,15848.9,1.0000,-6.62,-168.94
60,17782.8,1.0000,-6.62,189.95
61,19952.6,1.0000,-6.61,188.93
62,22387.2,1.0000,-6.60,188.08
63,25118.9,1.0000,-6.60,187.32
64,28183.8,1.0000,-6.60,186.66
65,31622.8,1.0000,-6.59,186.13
66,35481.3,1.0000,-6.57,185.61
67,39810.7,1.0000,-6.57,185.20
68,44668.4,1.0000,-6.56,184.86
69,50118.7,1.0000,-6.56,184.53
70,56234.1,1.0000,-6.55,184.31
71,63095.7,1.0000,-6.53,184.06
72,70794.6,1.0000,-6.50,183.90
73,79432.8,1.0000,-6.48,183.78
74,89125.1,1.0000,-6.45,183.72
75,100000.0,1.0000,-6.41,183.74
76,112201.8,1.0000,-6.36,183.72
77,125892.5,1.0000,-6.31,183.74
78,141253.8,1.0000,-6.25,183.72
79,158489.3,1.0000,-6.16,183.78
80,177827.9,1.0000,-6.05,183.94
81,199526.2,1.0000,-5.91,183.87
82,223872.1,1.0000,-5.78,183.53
83,251188.6,1.0000,-5.56,183.40
84,281838.3,1.0000,-5.35,182.06
85,316227.8,1.0000,-5.04,179.93
86,354813.4,1.0000,-4.79,174.94
87,398107.2,1.0000,-4.74,165.39
88,446683.6,1.0000,-5.05,147.49
89,501187.2,1.0000,-5.91,128.95
90,562341.3,1.0000,-6.74,116.48
91,630957.3,1.0000,-7.57,106.05
92,707945.8,1.0000,-8.31,97.13
93,794328.2,1.0000,-8.91,88.39
94,891250.9,1.0000,-9.36,78.77
95,1000000.0,1.0000,-9.60,66.74
