#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,11.16,149.61
2,22.4,1.0000,11.16,145.18
3,25.1,1.0000,11.15,140.26
4,28.2,1.0000,11.12,134.52
5,31.6,1.0000,11.13,128.24
6,35.5,1.0000,11.08,121.01
7,39.8,1.0000,11.04,112.80
8,44.7,1.0000,10.95,103.38
9,50.1,1.0000,10.80,92.78
10,56.2,1.0000,10.56,80.63
11,63.1,1.0000,10.22,66.64
12,70.8,1.0000,9.73,51.02
13,79.4,1.0000,9.03,33.77
14,89.1,1.0000,8.13,15.01
15,100.0,1.0000,6.99,-4.87
16,112.2,1.0000,5.74,-25.25
17,125.9,1.0000,4.44,-45.75
18,141.3,1.0000,3.22,-65.90
19,158.5,1.0000,2.20,-85.16
20,177.8,1.0000,1.42,-103.34
21,199.5,1.0000,0.86,-120.48
22,223.9,1.0000,0.48,-136.58
23,251.2,1.0000,0.26,-151.65
24,281.8,1.0000,0.12,-166.14
25,316.2,1.0000,0.08,179.71
26,354.8,1.0000,0.12,165.62
27,398.1,1.0000,0.23,151.19
28,446.7,1.0000,0.45,136.11
29,501.2,1.0000,0.83,120.15
30,562.3,1.0000,1.39,103.25
31,631.0,1.0000,2.18,85.24
32,707.9,1.0000,3.18,66.37
33,794.3,1.0000,4.37,46.80
34,891.3,1.0000,5.69,26.84
35,1000.0,1.0000,7.00,6.82
36,1122.0,1.0000,8.16,-12.76
37,1258.9,1.0000,9.13,-31.36
38,1412.5,1.0000,9.86,-48.65
39,1584.9,1.0000,10.41,-64.24
40,1778.3,1.0000,10.78,-78.11
41,1995.3,1.0000,11.06,-90.31
42,2238.7,1.0000,11.24,-101.00
43,2511.9,1.0000,11.34,-110.33
44,2818.4,1.0000,11.41,-118.46
45,3162.3,1.0000,11.46,-125.59
46,3548.1,1.0000,11.49,-131.83
47,3981.1,1.0000,11.51,-137.28
48,4466.8,1.0000,11.53,-142.14
49,5011.9,1.0000,11.54,-146.46
50,5623.4,1.0000,11.55,-150.22
51,6309.6,1.0000,11.55,-153.59
52,7079.5,1.0000,11.55,-156.54
53,7943.3,1.0000,11.55,-159.26
54,8912.5,1.0000,11.55,-161.62
55,10000.0,1.0000,11.55,-163.74
56,11220.2,1.0000,11.56,-165.62
57,12589.3,1.0000,11.56,-167.39
58,14125.4,1.0000,11.56,-168.94
59,15848.9,1.0000,11.56,189.68
60,17782.8,1.0000,11.56,188.41
61,19952.6,1.0000,11.57,187.28
62,22387.2,1.0000,11.57,186.19
63,25118.9,1.0000,11.57,185.22
64,28183.8,1.0000,11.56,184.34
65,31622.8,1.0000,11.58,183.55
66,35481.3,1.0000,11.57,182.69
67,39810.7,1.0000,11.59,182.01
68,44668.4,1.0000,11.60,181.20
69,50118.7,1.0000,11.60,180.52
70,56234.1,1.0000,11.62,179.77
71,63095.7,1.0000,11.64,179.03
72,70794.6,1.0000,11.65,178.30
73,79432.8,1.0000,11.69,177.42
74,89125.1,1.0000,11.72,176.56
75,100000.0,1.0000,11.75,175.65
76,112201.8,1.0000,11.80,174.55
77,125892.5,1.0000,11.85,173.41
78,141253.8,1.0000,11.90,172.04
79,158489.3,1.0000,11.96,170.57
80,177827.9,1.0000,12.05,168.79
81,199526.2,1.0000,12.14,166.84
82,223872.1,1.0000,12.25,164.36
83,251188.6,1.0000,12.40,161.39
84,281838.3,1.0000,12.56,157.83
85,316227.8,1.0000,12.84,152.20
86,354813.4,1.0000,12.97,142.47
87,398107.2,1.0000,13.01,125.65
88,446683.6,1.0000,12.54,98.65
89,501187.2,1.0000,11.41,73.15
90,562341.3,1.0000,10.11,52.80
91,630957.3,1.0000,8.70,34.85
92,707945.8,1.0000,7.17,17.90
93,794328.2,1.0000,5.52,1.10
94,891250.9,1.0000,3.82,-15.74
95,1000000.0,1.0000,1.97,-33.32
