#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,20.0,1.0000,-12.31,149.78
2,22.4,1.0000,-12.28,145.29
3,25.1,1.0000,-12.24,140.33
4,28.2,1.0000,-12.18,134.58
5,31.6,1.0000,-12.08,128.17
6,35.5,1.0000,-11.92,120.77
7,39.8,1.0000,-11.71,112.38
8,44.7,1.0000,-11.38,102.64
9,50.1,1.0000,-10.91,91.57
10,56.2,1.0000,-10.25,78.61
11,63.1,1.0000,-9.36,63.75
12,70.8,1.0000,-8.25,46.85
13,79.4,1.0000,-7.00,28.27
14,89.1,1.0000,-5.65,8.12
15,100.0,1.0000,-4.37,-12.99
16,112.2,1.0000,-3.23,-34.13
17,125.9,1.0000,-2.32,-54.83
18,141.3,1.0000,-1.59,-74.51
19,158.5,1.0000,-1.09,-92.78
20,177.8,1.0000,-0.75,-109.70
21,199.5,1.0000,-0.52,-125.34
22,223.9,1.0000,-0.38,-140.02
23,251.2,1.0000,-0.31,-153.87
24,281.8,1.0000,-0.27,-167.22
25,316.2,1.0000,-0.26,179.71
26,354.8,1.0000,-0.28,166.61
27,398.1,1.0000,-0.34,153.24
28,446.7,1.0000,-0.44,139.39
29,501.2,1.0000,-0.60,124.74
30,562.3,1.0000,-0.84,109.10
31,631.0,1.0000,-1.19,92.30
32,707.9,1.0000,-1.71,74.23
33,794.3,1.0000,-2.39,54.86
34,891.3,1.0000,-3.28,34.58
35,1000.0,1.0000,-4.40,13.81
36,1122.0,1.0000,-5.58,-6.80
37,1258.9,1.0000,-6.79,-26.57
38,1412.5,1.0000,-7.92,-44.85
39,1584.9,1.0000,-8.86,-61.50
40,1778.3,1.0000,-9.62,-76.11
41,1995.3,1.0000,-10.16,-88.90
42,2238.7,1.0000,-10.55,-99.96
43,2511.9,1.0000,-10.81,-109.48
44,2818.4,1.0000,-10.99,-117.77
45,3162.3,1.0000,-11.10,-124.94
46,3548.1,1.0000,-11.19,-131.20
47,3981.1,1.0000,-11.23,-136.70
48,4466.8,1.0000,-11.26,-141.43
49,5011.9,1.0000,-11.27,-145.59
50,5623.4,1.0000,-11.28,-149.31
51,6309.6,1.0000,-11.29,-152.61
52,7079.5,1.0000,-11.29,-155.48
53,7943.3,1.0000,-11.28,-158.01
54,8912.5,1.0000,-11.28,-160.29
55,10000.0,1.0000,-11.28,-162.24
56,11220.2,1.0000,-11.28,-163.96
57,12589.3,1.0000,-11.27,-165.50
58,14125.4,1.0000,-11.27,-166.80
59,15848.9,1.0000,-11.28,-167.97
60,17782.8,1.0000,-11.27,-169.00
61,19952.6,1.0000,-11.26,-169.81
62,22387.2,1.0000,-11.24,189.46
63,25118.9,1.0000,-11.25,188.89
64,28183.8,1.0000,-11.24,188.43
65,31622.8,1.0000,-11.23,188.04
66,35481.3,1.0000,-11.21,187.77
67,39810.7,1.0000,-11.19,187.62
68,44668.4,1.0000,-11.18,187.50
69,50118.7,1.0000,-11.16,187.52
70,56234.1,1.0000,-11.13,187.63
71,63095.7,1.0000,-11.09,187.84
72,70794.6,1.0000,-11.06,188.09
73,79432.8,1.0000,-11.00,188.49
74,89125.1,1.0000,-10.95,188.93
75,100000.0,1.0000,-10.87,189.40
76,112201.8,1.0000,-10.79,-169.92
77,125892.5,1.0000,-10.68,-169.28
78,141253.8,1.0000,-10.54,-168.58
79,158489.3,1.0000,-10.40,-167.80
80,177827.9,1.0000,-10.19,-166.94
81,199526.2,1.0000,-9.97,-166.15
82,223872.1,1.0000,-9.68,-165.50
83,251188.6,1.0000,-9.33,-165.00
84,281838.3,1.0000,-8.89,-164.85
85,316227.8,1.0000,-8.36,-165.99
86,354813.4,1.0000,-7.88,-169.80
87,398107.2,1.0000,-7.58,181.48
88,446683.6,1.0000,-7.59,164.20
89,501187.2,1.0000,-8.10,146.85
90,562341.3,1.0000,-8.60,134.17
91,630957.3,1.0000,-9.09,124.16
92,707945.8,1.0000,-9.52,115.23
93,794328.2,1.0000,-9.79,106.28
94,891250.9,1.0000,-9.91,96.57
95,1000000.0,1.0000,-9.82,84.74
